"STATE/UT","CRIME HEAD","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"MIZORAM","PREPARATION AND ASSEMBLY FOR DACOITY",0,0,0,0,0,0,0,0,0,0,0,0
"NAGALAND","PREPARATION AND ASSEMBLY FOR DACOITY",0,0,0,0,0,0,0,0,0,0,0,0
"ODISHA","PREPARATION AND ASSEMBLY FOR DACOITY",22,30,30,0,50,76,42,67,63,117,84,99
"PUNJAB","PREPARATION AND ASSEMBLY FOR DACOITY",84,83,117,79,103,90,92,122,96,143,143,184
"RAJASTHAN","PREPARATION AND ASSEMBLY FOR DACOITY",40,33,41,46,79,97,81,77,57,84,72,74
"SIKKIM","PREPARATION AND ASSEMBLY FOR DACOITY",0,0,0,0,0,0,0,0,0,0,0,0
"TAMIL NADU","PREPARATION AND ASSEMBLY FOR DACOITY",6,25,43,54,0,4,33,66,34,12,11,19
"TRIPURA","PREPARATION AND ASSEMBLY FOR DACOITY",0,0,0,2,0,1,2,3,0,2,0,0
"UTTAR PRADESH","PREPARATION AND ASSEMBLY FOR DACOITY",38,59,196,98,89,86,82,76,59,48,39,68
"UTTARAKHAND","PREPARATION AND ASSEMBLY FOR DACOITY",3,6,3,1,0,2,6,2,7,2,1,3
"WEST BENGAL","PREPARATION AND ASSEMBLY FOR DACOITY",421,646,883,943,1221,1263,1150,1055,724,687,939,875
"TOTAL (STATES)","PREPARATION AND ASSEMBLY FOR DACOITY",1540,1773,2194,2203,2675,2926,2973,3076,2773,2568,2858,3062
"A & N ISLANDS","PREPARATION AND ASSEMBLY FOR DACOITY",0,0,0,0,0,0,0,0,0,0,0,0
"CHANDIGARH","PREPARATION AND ASSEMBLY FOR DACOITY",0,1,1,2,2,3,0,4,3,6,2,9
"D & N HAVELI","PREPARATION AND ASSEMBLY FOR DACOITY",0,0,0,0,0,0,0,0,0,0,0,0
"DAMAN & DIU","PREPARATION AND ASSEMBLY FOR DACOITY",0,0,0,0,0,0,1,0,0,0,0,0
"DELHI","PREPARATION AND ASSEMBLY FOR DACOITY",74,67,107,135,157,200,229,134,69,31,25,13
"LAKSHADWEEP","PREPARATION AND ASSEMBLY FOR DACOITY",0,0,0,0,0,0,0,0,0,0,0,0
"PUDUCHERRY","PREPARATION AND ASSEMBLY FOR DACOITY",0,0,0,0,0,0,2,3,5,10,10,15
"TOTAL (UTs)","PREPARATION AND ASSEMBLY FOR DACOITY",74,68,108,137,159,203,232,141,77,47,37,37
"TOTAL (ALL-INDIA)","PREPARATION AND ASSEMBLY FOR DACOITY",1614,1841,2302,2340,2834,3129,3205,3217,2850,2615,2895,3099
"ANDHRA PRADESH","ROBBERY",629,648,660,596,794,679,614,623,544,550,600,668
"ARUNACHAL PRADESH","ROBBERY",84,96,60,45,77,74,75,79,55,69,64,65
"ASSAM","ROBBERY",687,607,523,505,451,544,496,568,680,662,837,907
